id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,cleanName,calcLat,calcLon,geographicPrecision,genusSpecies,Scientific Name,State Rank,Global Rank,Federal Status
32164562,CSU,,,PreservedSpecimen,514003a8-fc8c-11e7-9474-0b000602b72f,,CSU10107,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes|Spiranthes lacera,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes lacera var. gracilis,120374.0,(Bigelow) Luer,Spiranthes,,lacera,var.,gracilis,,,Variety,,,,,,,,P. E. Olson,,188.5,9/16/1994,,1994.0,9.0,16.0,259.0,,,,cultivated land,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Canadian,,"Piedmont; Hoggard's Organic Herb Farm, 2618 Morgan Road, Piedmont",,0,,35.54244528,-97.98237846,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10107,538,7519ee1f-6f05-416c-841d-c15bb56ca91b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164562,Canadian,35.54244528,-97.98237846,False,Spiranthes lacera var. gracilis,,,,
32164564,CSU,,,PreservedSpecimen,514003a8-fc8c-11e7-88a1-7f0bce344a41,,CSU10109,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes|Spiranthes lacera,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes lacera var. gracilis,120374.0,(Bigelow) Luer,Spiranthes,,lacera,var.,gracilis,,,Variety,,,,,,,,R. K. Hoggard,,173,9/21/1994,,1994.0,9.0,21.0,264.0,,,,"disturbed pasture, mixed grasses and forbes, sandy loam; xeric; common",,white flowers,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Canadian,,Road jct; 0.5 mi N of Edmond Road on Morgan Road,,0,,35.54244528,-97.98237846,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10109,538,5f3de4a8-d44c-40b4-b0e2-13800b15e41f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164564,Canadian,35.54244528,-97.98237846,False,Spiranthes lacera var. gracilis,,,,
32164566,CSU,,,PreservedSpecimen,514003a8-fc8c-11e7-b4c8-7fa2105336e0,,CSU10110,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes|Spiranthes lacera,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes lacera var. gracilis,120374.0,(Bigelow) Luer,Spiranthes,,lacera,var.,gracilis,,,Variety,,,,,,,,G. Hoggard,,169,9/21/1994,,1994.0,9.0,21.0,264.0,,,,"disturbed pasture, mixed grasses and forbes, sandy loam; xeric; common",,white flowers,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Canadian,,Road jct; 0.5 mi N of Edmond Road on Morgan Road,,0,,35.54244528,-97.98237846,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10110,538,92cf0da2-fb3a-460d-b139-ee46c7bd54b4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164566,Canadian,35.54244528,-97.98237846,False,Spiranthes lacera var. gracilis,,,,
32164567,CSU,,,PreservedSpecimen,39863610-fc8c-11e7-876d-bf0f9bc794eb,,CSU10111,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes vernalis,102245.0,Engelm. & A. Gray,Spiranthes,,vernalis,,,,,Species,,,,,,,,C. C. Smith,,546,6/24/1938,,1938.0,6.0,24.0,175.0,,,,prairie,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Cleveland,,"Cleveland County; Area 28, E Cleveland County",,0,,35.20311804,-97.32668148,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10111,538,32f1d271-d7ca-4c1f-812b-23ae65bdbb6a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164567,Cleveland,35.20311804,-97.32668148,False,Spiranthes vernalis,,,,
32164561,CSU,,,PreservedSpecimen,f9734b9e-fc8b-11e7-8727-9f8d8e0c2f82,,CSU10106,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes magnicamporum,18765.0,Sheviak,Spiranthes,,magnicamporum,,,,,Species,,,,,,,,M. Powell,,11,10/8/1961,,1961.0,10.0,8.0,281.0,,,,"in undisturbed prairie, tall-grass, on a slightly N facing slope",,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,McClain,,McClain County; Johnson's Pasture,,0,,35.00906006,-97.44420583,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10106,538,dc74b483-2160-4674-a9d2-0cdabc90e895,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164561,Mcclain,35.00906006,-97.44420583,False,Spiranthes magnicamporum,,,,
32164563,CSU,,,PreservedSpecimen,39863610-fc8c-11e7-a83e-2b7ee551e621,,CSU10108,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes vernalis,102245.0,Engelm. & A. Gray,Spiranthes,,vernalis,,,,,Species,,,,,,,,G. J. Goodman,,6471,6/23/1957,,1957.0,6.0,23.0,174.0,,,,frequent on prairie,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Muskogee,,Braggs; N of Braggs,,0,,35.61609454,-95.37948727,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,DLW (OVPD),3/30/2021 0:00,CSU10108,538,7babd633-7681-4367-a8c7-fa3b03b35fde,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32164563,Muskogee,35.61609454,-95.37948727,False,Spiranthes vernalis,,,,
