id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,cleanName,calcLat,calcLon,centroidAssigned,georef_notes,geographicPrecision,geometry,countyNameFromJoin,countyFIPS,countyMatch,genusSpecies,Scientific Name,State Rank,Global Rank,Federal Status,onTrackingList
32168079,CSU,,,PreservedSpecimen,56795f04-fc8c-11e7-b1b8-1b0b872dc087,,CSU3978,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus lupulinus,80316.0,(Spreng.) Marcks,Cyperus,,lupulinus,,,,,Species,,,,,,,,J. Scott,,s.n.,7/9/1959,,,1959.0,7.0,9.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Marshall,,"Lake Texoma; island #2, in Lake Texoma, 3.5 mi SE of University of Oklahoma Biological Station",,0,,34.02449343,-96.76913556,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3978,538,294d90d6-451a-45c4-8174-5249878421c6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168079,Marshall,34.02449343,-96.76913556,False,,PRECISION UNVERIFIED,POINT (-96.76913556 34.02449343),Marshall,40095,True,Cyperus lupulinus,,,,,False
32168080,CSU,,,PreservedSpecimen,56795f04-fc8c-11e7-9ff3-c31f7375f2b5,,CSU3979,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus echinatus,18116.0,(L.) Alph. Wood,Cyperus,,echinatus,,,,,Species,,,,,,,,S. Thornhill,,21,7/9/1959,,,1959.0,7.0,9.0,190.0,,,,Roadside,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,Edmond; 1.0 mi E of Edmond,,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3979,538,11ec94f8-d11e-4d7a-9cc8-8572f99375ca,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168080,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Cyperus echinatus,,,,,False
32168081,CSU,,,PreservedSpecimen,36cc8a14-fc8c-11e7-ad8f-971327e5aacd,,CSU398,,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias arenaria,17913.0,Torr.,Asclepias,,arenaria,,,,,Species,,,,,,,,C. Clarke,,16,6/17/1994,,,1994.0,6.0,17.0,168.0,,,,,,flowers white,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Woods,,Little Sahara State Park; 1 mi N of Little Sahara State Park on Hwy 14,,0,,36.76693768,-98.86511717,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU398,538,619e3296-43d9-40d6-8d84-907247f39668,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168081,Woods,36.76693768,-98.86511717,False,,PRECISION UNVERIFIED,POINT (-98.86511717 36.76693768),Woods,40151,True,Asclepias arenaria,,,,,False
32168082,CSU,,,PreservedSpecimen,567937f4-fc8c-11e7-8908-abbeff6d592c,,CSU3980,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus echinatus,18116.0,(L.) Alph. Wood,Cyperus,,echinatus,,,,,Species,,,,,,,,J. Bourell,,16,7/2/1959,,,1959.0,7.0,2.0,183.0,,,,"Vacant lot, sandy soil",,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,Edmond; vacant lot in Edmond S of Central State Campus,,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3980,538,3a4eaa04-27ad-4f4d-a995-2c7b5f9aa27f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168082,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Cyperus echinatus,,,,,False
32168083,CSU,,,PreservedSpecimen,567937f4-fc8c-11e7-a926-6b37c4cab471,,CSU3981,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus schweinitzii,845.0,Torr.,Cyperus,,schweinitzii,,,,,Species,,,,,,,,G. W. Stevens,,1626,7/8/1913,,,1913.0,7.0,8.0,189.0,,,,low grassy roadside,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Woods,,Alva; near Alva,,0,,36.76693768,-98.86511717,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3981,538,96f61720-8af3-4dc4-8b78-ef4c2278449b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168083,Woods,36.76693768,-98.86511717,False,,PRECISION UNVERIFIED,POINT (-98.86511717 36.76693768),Woods,40151,True,Cyperus schweinitzii,,,,,False
32168084,CSU,,,PreservedSpecimen,3c7ff932-fc8c-11e7-ba65-8740dc468f2c,,CSU3982,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus echinatus,18116.0,(L.) Alph. Wood,Cyperus,,echinatus,,,,,Species,,,,,,,,E. L. Young,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,Oklahoma County; Oklahoma County,,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3982,538,0b7192c6-1c12-43d7-8187-0657407b4007,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168084,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Cyperus echinatus,,,,,False
32168085,CSU,,,PreservedSpecimen,567910da-fc8c-11e7-95c3-afdb7ee0c97e,,CSU3983,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus echinatus,18116.0,(L.) Alph. Wood,Cyperus,,echinatus,,,,,Species,,,,,,,,T. Woodard,,12,6/20/1985,,,1985.0,6.0,20.0,171.0,,,,"Sandy soil, abandoned field",,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"Edmond; 0.3 mi E of Bryant on Danforth on S side of road, Edmond",,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3983,538,e49457bd-47c1-4159-9c52-2df657378a6b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168085,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Cyperus echinatus,,,,,False
32168086,CSU,,,PreservedSpecimen,567ae5a4-fc8c-11e7-8b13-abb25eb3556b,,CSU3984,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus lupulinus,80316.0,(Spreng.) Marcks,Cyperus,,lupulinus,,,,,Species,,,,,,,,G. W. Stevens,,1311,6/24/1913,,,1913.0,6.0,24.0,175.0,,,,Sandy Creek ralley,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Comanche,,Cache; near Cache,,0,,34.66210125,-98.47166126,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3984,538,bb5ee562-3294-4f7a-b282-8e8a78119429,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168086,Comanche,34.66210125,-98.47166126,False,,PRECISION UNVERIFIED,POINT (-98.47166126 34.66210125),Comanche,40031,True,Cyperus lupulinus,,,,,False
32168087,CSU,,,PreservedSpecimen,567abe94-fc8c-11e7-8e15-9b9350e4ccd4,,CSU3985,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex frankii,18000.0,Kunth,Carex,,frankii,,,,,Species,,,,,,,,T. Geis,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,"Oklahoma County; collected 1.5 mi NE of Central State College campus in Reymolch Park, Oklahoma County",,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3985,538,ad705bd7-16dc-4a37-942c-a0c7223d93cb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168087,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Carex frankii,,,,,False
32168088,CSU,,,PreservedSpecimen,567abe94-fc8c-11e7-a3e2-3ff97dfaffb6,,CSU3986,,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus echinatus,18116.0,(L.) Alph. Wood,Cyperus,,echinatus,,,,,Species,,,,,,,,M. A. Team,,28,7/9/1959,,,1959.0,7.0,9.0,190.0,,,,Along the roadside,,,,,,,,,,,,,,,,,,,,,,,,,United States,US,Oklahoma,Oklahoma,,Edmond; in the NE part of Edmond,,0,,35.55149491,-97.4071989,,5000.0,,,,,False,Needs to be georeferenced. Coordinates based on county centroid. (OVPD),,,,,,,,,VCK (OVPD),3/30/2021 0:00,CSU3986,538,38e9d564-0efc-4f76-b62d-19ed9d061c18,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32168088,Oklahoma,35.55149491,-97.4071989,False,,PRECISION UNVERIFIED,POINT (-97.4071989 35.55149491),Oklahoma,40109,True,Cyperus echinatus,,,,,False
